,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805856254570669.5,,90112741269829.97,
2,1.0,807861646629742.0,-5.960464477539063e-08,91426165413023.0,437483911.0759083
3,1.5,813957727494041.2,100649768.30711746,93742461840722.6,1386813463.578012
4,2.0,824946103800947.9,929894586.0725789,95803095718472.4,2419446874.4155126
5,2.5,840012626532484.4,2624619879.111695,96158419370495.62,2747786857.9352145
6,3.0,853928686348269.4,4194678670.3100405,94433845902722.53,2557051614.4902344
7,3.5,863766199519415.4,5231440517.062672,93264687173517.98,2421375407.5012903
8,4.0,870894332072855.8,5901309543.50201,93554052203828.56,2505284150.0887246
9,4.5,876435379328352.0,6382720764.710756,94013862280702.03,2586633123.8315597
10,5.0,881029541578318.2,6761337128.083445,94206344534384.5,2596803913.209886
11,5.5,884963328978957.0,7080302363.117948,94525745634507.7,2618315798.3626947
12,6.0,888457589470175.9,7292121825.633606,94852061746054.28,2650665092.4529824
13,6.5,891624976814977.2,7539949614.378365,95093098590413.44,2662712564.750464
14,7.0,894519294393423.9,7722996688.611631,95377667001808.73,2667285838.309656
15,7.5,897243136370881.2,7885564324.619827,95744848495680.7,2700825812.1668897
16,8.0,899854982098357.0,8085327454.368257,96165486244681.0,2763868357.05873
17,8.5,902367819007356.4,8251550268.423,96576777664746.52,2817378494.925007
18,9.0,904802321660738.2,8425397279.326715,96948853111004.19,2861485189.5680637
