,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,896010962521868.0,,493936369838309.9,
2,1.0,899558181672544.2,428054426.0559202,496453220282290.9,428054426.0559202
3,1.5,908200783218139.5,1360892092.0014913,502318436602019.5,1360892092.0014913
4,2.0,921448355947510.2,2806965963.079454,511126627458566.5,2620910017.844655
5,2.5,937162185589436.2,4313922691.589752,521040630381901.6,3799420343.4857407
6,3.0,949886086619492.2,4951606459.1643305,527906892958787.5,4198155097.165008
7,3.5,959252498811261.2,4867596615.575075,532241273362500.1,4102435487.0469985
8,4.0,967389186717381.8,4604454960.720511,536062367523254.3,3934177797.7645335
9,4.5,974202785969680.8,4215327261.855471,539168605980724.75,3691285255.2046022
10,5.0,979868534727353.6,3852630258.3779306,541536327466635.9,3468808687.97915
11,5.5,984982572599010.0,3631926108.423535,543688534655910.75,3301069428.0426807
12,6.0,989655529670051.8,3535693105.7975397,545736934164007.9,3185637848.98244
13,6.5,993891454082997.0,3578146901.99662,547667916788872.6,3099440985.2595625
14,7.0,997822219816261.8,3591590871.3160114,549550143177552.7,3062344703.665283
15,7.5,1001593448121236.6,3707003599.670869,551455001027035.9,3145184074.1695404
16,8.0,1005263989918819.9,3827918799.4184628,553398320446010.6,3233966206.4699364
17,8.5,1008792055635644.9,3959980756.456582,555308578786474.2,3332187533.512594
18,9.0,1012168433103566.9,4102696779.4365153,557143641480917.4,3435670228.6618304
