,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,4.391092324322034e+16,235226604801.62418,2975366057230220.5,18341873022.122173
1,0.5,4.389936009201471e+16,235226604801.62418,2975704833955439.0,18341873022.122173
2,1.0,4.38523477045016e+16,235226604801.62418,2978786225538828.0,18341873022.122173
3,1.5,4.371771507628815e+16,234988568209.06393,2987055326417797.0,18316864066.513275
4,2.0,4.35032064118689e+16,234252954818.14798,2999590634862082.0,18175216963.510685
5,2.5,4.3231695643462424e+16,233340624932.53186,3013236226666487.5,17997999438.75379
6,3.0,4.296887351815892e+16,232364276827.1622,3022108732287401.0,17826685431.577354
7,3.5,4.276250558037726e+16,231550738393.67288,3023739586971373.5,17683971878.683533
8,4.0,4.259904628466733e+16,231168335388.11197,3020952071008016.0,17614808531.808006
9,4.5,4.2465751756612216e+16,230688520022.8279,3015930275461767.0,17528865880.848118
10,5.0,4.23535749944724e+16,230439964379.37762,3009885476895503.5,17474820614.651978
11,5.5,4.225614253543595e+16,230337372855.1586,3003437344315947.0,17431495308.400303
12,6.0,4.2169215360106456e+16,229973662015.9079,2996914698796375.0,17410165936.181217
13,6.5,4.20899206982159e+16,229811737867.60806,2990481951616348.5,17345746317.00305
14,7.0,4.201624274921768e+16,229607447265.14337,2984234036817268.0,17320754687.727478
15,7.5,4.1946821943878696e+16,229464380572.27072,2978202079615001.0,17271570616.597145
16,8.0,4.188072659139513e+16,229299371132.99127,2972371701618841.5,17254855849.080738
17,8.5,4.181730283877218e+16,229179126015.57993,2966725271714514.0,17219007034.27157
18,9.0,4.175607562179754e+16,229004197309.16492,2961251094568587.5,17200642504.215824
