,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,8410531079490337.0,,4608156716360967.0,
1,0.5,8410677937420448.0,9947544.785063656,4608265995168568.0,9947544.785063656
2,1.0,8411385408558293.0,490132200.59622407,4608744902153535.0,490132200.59622407
3,1.5,8413214868694763.0,1501544093.3470125,4609901381694222.0,1429557756.756734
4,2.0,8415985565123054.0,3219932165.4347515,4611582005851588.0,2779215652.655448
5,2.5,8419254532911478.0,4977929711.489406,4613420749204312.0,4071018825.352702
6,3.0,8422096080935239.0,5986960401.328804,4614940703949004.0,4658346704.145469
7,3.5,8424333567788417.0,6491504186.166032,4616096511784061.0,4926130126.39035
8,4.0,8426269255955494.0,7017213851.333803,4617079397553202.0,5268477351.055181
9,4.5,8427906017839473.0,7374099214.407708,4617846908077154.0,5521877472.873635
10,5.0,8429299050725704.0,7628384067.094057,4618415199948572.0,5488518350.240185
11,5.5,8430561324730790.0,7829528614.237404,4618924592378896.0,5454677314.793152
12,6.0,8431719242865141.0,7977260904.636397,4619427370197694.0,5383937887.849049
13,6.5,8432781363405966.0,8110318580.425179,4619922889483547.0,5308607199.714837
14,7.0,8433780334219468.0,8207578798.134987,4620421032412366.0,5230608478.263629
15,7.5,8434740472070620.0,8334425984.385671,4620927699181552.0,5205921728.742168
16,8.0,8435667454634614.0,8460565975.101813,4621443828740263.0,5216051667.684118
17,8.5,8436557322110798.0,8608417767.297588,4621955976590392.0,5242975713.568813
18,9.0,8437411382934876.0,8737596608.307156,4622452093810448.0,5274312430.889557
