,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805855567631351.2,,90107245780843.16,
2,1.0,807858675219680.8,0.0,91415918825364.3,434226931.570956
3,1.5,813949267855377.2,101470698.32157397,93729439943141.0,1381904497.2127972
4,2.0,824933200579844.5,936085886.0138063,95792777239951.72,2405235252.3891306
5,2.5,839996492181876.5,2662117210.7811475,96147521068351.75,2729526363.239699
6,3.0,853910834687936.2,4233182516.887803,94407407746798.95,2529702014.1630344
7,3.5,863746116984320.9,5222729592.8997,93224337959348.34,2375937492.2938237
8,4.0,870870420652617.9,5870612231.420725,93509439975912.33,2449414179.523171
9,4.5,876406895039456.0,6333216642.524739,93963809829829.88,2519441344.3995237
10,5.0,880996889051544.0,6694844995.642189,94149501866119.56,2515119641.321081
11,5.5,884925169031940.0,6994910523.579071,94466328465447.31,2527859908.807527
12,6.0,888413891077454.0,7200561717.936091,94788849572400.31,2554215442.2369413
13,6.5,891575757091604.9,7417616003.502752,95023483451540.53,2545504684.0538044
14,7.0,894464667017975.0,7610647232.067114,95303984547060.75,2545353869.740564
15,7.5,897183041646216.6,7762522687.203874,95669406802653.92,2577059896.617568
16,8.0,899787635200736.4,7949197550.36012,96089502318268.66,2640782918.9487944
17,8.5,902292447161262.8,8108295059.708366,96499971474251.53,2687079949.723423
18,9.0,904719171611839.4,8264580263.239408,96870485452404.66,2736589667.72042
