,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,895994305081387.5,,493876725629335.06,
2,1.0,899335669255040.4,438104992.74504125,496217892909406.5,438104992.74504125
3,1.5,907777920877805.0,1520548456.949398,501912031840370.25,1430806065.3335772
4,2.0,920855437527797.4,3387710925.533863,510594285970886.9,2891064075.988139
5,2.5,936334684249299.9,5440934686.489011,520361216405682.6,4421793253.22139
6,3.0,948574891406300.5,6853135968.146627,526922226083589.75,5258683634.726969
7,3.5,957272940316722.5,7742614572.5636635,530759568610723.4,5746824235.041261
8,4.0,964692851518205.9,8459812735.931146,534092244334278.94,6218420263.509894
9,4.5,970695478266064.6,9021848617.707714,536685506784731.0,6424668626.803501
10,5.0,975484981064184.2,9392045949.381733,538523212068364.5,6427605081.918303
11,5.5,979728410126198.5,9650195383.030802,540187581697471.8,6402400744.514111
12,6.0,983539895225956.5,9905036278.870426,541791860322937.2,6364221733.608257
13,6.5,986941829307292.5,10103116369.531597,543331275914376.0,6332306049.629963
14,7.0,990110308702410.2,10275554729.821112,544914457442473.6,6300098040.956948
15,7.5,993190919783358.0,10508482542.00505,546601559759679.5,6322114212.835271
16,8.0,996218322139563.8,10727723765.670774,548371584044929.4,6364169278.416502
17,8.5,999142150636340.0,10951822124.814957,550125595007921.5,6405868292.075921
18,9.0,1001950346009369.1,11154595360.96927,551804843072373.9,6459346584.733461
