,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,803038569932847.8,,76647103441649.19,
1,0.5,803243367364208.9,,76649372768703.14,
2,1.0,805550470495715.4,,76674414412015.4,
3,1.5,811762078157439.8,132942342.97362219,76717754338202.95,25008955.60889928
4,2.0,821680610511344.4,885908522.0926548,76753877469366.12,166656058.61148986
5,2.5,834344261363579.1,1965178299.708371,76785101270856.36,343873583.3683822
6,3.0,846575075446104.1,2879495998.1221867,76883243910964.11,526009512.6748868
7,3.5,856038525953709.6,3720965012.7548113,77114113945182.53,686906992.5700676
8,4.0,863382562531670.2,4226773133.013854,77432638021692.94,744240872.781436
9,4.5,869253715400492.4,4662811953.271002,77786079426951.4,838021781.467001
10,5.0,874105315480159.9,4775326730.319363,78144312035088.52,896543060.7907447
11,5.5,878253008628722.6,5124744420.114071,78493948907401.89,905440009.1914637
12,6.0,881908499635621.2,5406970661.642883,78829364513123.97,965339858.75876
13,6.5,885215736020452.9,5632169249.910284,79149360821333.6,1033365053.0308158
14,7.0,888274127708218.2,5729933137.115816,79454084277244.31,1071070325.5221171
15,7.5,891150216551806.9,5954127630.029219,79744811745087.66,1093564032.181006
16,8.0,893889810702869.9,6079335058.570976,80023512233637.14,1115535030.967787
17,8.5,896525122458196.5,6222792543.857321,80291853224994.12,1157504827.3624244
18,9.0,899078347995813.1,6274626826.33051,80550869558885.66,1175419297.1776419
