,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,903535091441273.6,92257578.69404438,501555883982332.4,92257578.69404438
2,1.0,909379644481560.2,483555245.9981929,507437850386062.75,483555245.99819297
3,1.5,914132484769062.6,794737349.3989851,512243439797575.1,794737349.3989853
4,2.0,916149799223699.6,170044050.92592585,514231034620598.9,170044050.92592585
5,2.5,918674044970903.2,3430019.327947216,515912805192980.25,3430019.327947216
6,3.0,923978339982610.9,,513103804040551.75,
7,3.5,929689768294486.0,,513012267201025.75,
8,4.0,934546748466436.2,,512444689134249.3,
9,4.5,938350301307921.5,,511163616149253.75,
10,5.0,941629560987563.2,,509274249105283.25,
11,5.5,944823923002115.2,,509306572945469.9,
12,6.0,947647662991501.5,,512668899956770.6,
13,6.5,950259159389507.2,,516785184968499.6,
14,7.0,952846368447464.0,,521007307037205.6,
15,7.5,954531745814403.5,,524475960960063.75,
16,8.0,955528203125313.2,,527313250212305.8,
17,8.5,956359604003747.1,,529917369351365.75,
18,9.0,957232151925506.5,,531941421467425.2,
